"Termo (Front)","Definição (Back)"
"If/Else Block","Bloco Se/Senão. Estrutura de decisão usada para criar ramificações lógicas no fluxo."
"Condition","Condição. O critério lógico (booleano) avaliado para decidir qual caminho o fluxo deve seguir."
"Branch","Ramificação. Um dos caminhos possíveis dentro de uma estrutura de decisão (If ou Else)."
"Criteria","Critérios. O conjunto de regras ou filtros definidos para uma condição (ex: Status é igual a 'Aberto')."
"True/False","Verdadeiro/Falso. Os dois resultados possíveis de uma avaliação lógica de condição."
"Check","Verificar. O ato de validar se um dado atende aos requisitos definidos na lógica de controle."
"For Each Loop","Loop Para Cada. Estrutura de repetição que executa ações para cada item de uma lista."
"Iterate","Iterar. O processo de percorrer um a um os elementos de uma coleção ou array."
"List / Collection","Lista ou Coleção. Um conjunto de dados/registros que podem ser processados em massa ou um a um."
"Array","Array. Termo técnico para uma lista ordenada de elementos ou objetos de dados."
"Record Set","Conjunto de registros. O resultado de uma busca que retorna múltiplos dados de uma só vez."
"Batch of records","Lote de registros. Um grupo de dados processados juntos para aumentar a eficiência."
"To Evaluate","Avaliar. O processo do sistema de analisar uma expressão lógica para determinar se é verdadeira."
"To Route","Rotear. Direcionar o fluxo de dados para diferentes ações baseando-se em condições."
"To Loop","Fazer um laço/repetição. Executar o mesmo conjunto de instruções várias vezes."
"To Process every","Processar cada. Garantir que uma ação seja aplicada individualmente a todos os itens de uma lista."
