Frente (Gatilho/Cenário),Verso (Ferramenta Correta)
"Importar API externa no Flow (Formato exigido)","Open API specifications (OAS/Swagger)"
"Passos para conectar Flow a API externa","Named Credentials > External Services > Action element"
"Processo de múltiplas etapas para um único usuário ou vários","Flow Orchestration"
"Evitar limites de DML (DML limits) dentro de loops no Flow","Usar Collection variables e fazer o DML no final"
"Rotear 3 caminhos diferentes no Orchestrator","Evaluation flow (variável de número) + Decision element"
"Agrupar Stages no Orchestrator (Melhor prática)","Baseado em hand-offs (passagens de bastão) ou ramificações lógicas"
"Atribuir item de trabalho a uma equipe inteira no Orchestrator","Group (Grupo) no Salesforce"
"Pré-requisito obrigatório antes de testar fluxos no Composer","Gatilho e ações devem estar conectados a uma Sandbox"
"Decidir rotas entre 3 ou mais equipes (ex: Vendas, Produto, Suporte) no Composer","Switch/Case"
"Sincronização bidirecional entre 2 sistemas no Composer","Criar no mínimo 2 fluxos (um para cada direção)"
"Agendamentos nativos de tempo (Schedule) no Composer","A cada 5 minutos ou a cada 30 minutos"
"Transformar texto 'true' em checkbox no Composer","Função fromStringToBoolean()"
"Combinar campos separados (Rua, Cidade) em uma lista para o NetSuite no Composer","Custom expression"
"Etapa final no Composer após receber CSV do RPA","Create or Update Record (no Sales Cloud)"
"Qualificadores principais para um processo ser candidato a RPA","Rule-based (baseado em regras) e Data-driven"
"Quem avalia e governa o ciclo de vida dos projetos de RPA","Center of Excellence (CoE)"
"O que o RPA Recorder captura automaticamente","Documentação de UI, keystrokes, wait times e screenshots"
"Significado do Losango com 'X' no BPMN do RPA","Exclusive Gateway (Ponto de decisão lógica)"
"Onde os Test Plans do RPA são efetivamente executados","Em um RPA Bot configurado"
"Primeiro passo prático para criar uma nova API","RAML definition no Design Center"
"Compartilhar um 'esqueleto de projeto' com outras equipes da empresa","Template asset no Anypoint Exchange"
"Política para limitar requisições de um cliente específico/individual","Rate Limiting - SLA-Based"
"Estratégia de Deploy na AWS (nuvem própria) com zero-downtime","Runtime Fabric (RTF)"
"Escopo do Connected App para conectar o RPA ao Anypoint","RPA Integrator"
