"Termo (Front)","Definição (Back)"
"Orchestration Runs","Instâncias de Execução. A lista que permite monitorar todos os processos ativos, pausados ou finalizados."
"Debug","Depurar. Ferramenta que permite testar a lógica de estágios e passos sem afetar dados reais, facilitando a busca por bugs."
"Orchestration Work Item","Item de Trabalho. O registro que rastreia uma tarefa pendente para um usuário, permitindo gerenciar quem deve executá-la."
"Reassign","Reatribuir. Ação administrativa de transferir uma tarefa interativa de um usuário/fila para outro para evitar gargalos."
"Fault Message","Mensagem de Erro. Notificação detalhada enviada por e-mail descrevendo por que um passo ou estágio falhou."
"In Progress / Completed","Em Progresso / Concluído. Os dois status principais que indicam se a jornada do usuário ainda está ativa ou foi finalizada com sucesso."
"Discontinued","Descontinuado. Status que ocorre quando a orquestração é interrompida forçadamente (ex: exclusão do registro gatilho)."
"Version Control","Controle de Versão. Capacidade de criar novas iterações da orquestração enquanto as versões antigas terminam de rodar."
"Active / Inactive","Ativo / Inativo. O status de publicação; apenas uma versão da orquestração pode estar ativa por vez."
"Promotion","Promoção. O ato de mover a orquestração de um ambiente de Sandbox para Produção (Deploy)."
"Error Logs","Logs de Erro. Registros técnicos que detalham falhas em Background Steps (fluxos automáticos)."
"Paused Orchestration","Orquestração Pausada. Estado em que o motor aguarda o cumprimento de uma condição de entrada ou uma ação humana."
