"Termo (Front)","Definição (Back)"
"Mocking Service","Serviço automático que lê a especificação da API e simula um backend funcional para testes iniciais."
"Mock Endpoint","URL pública temporária gerada pelo Exchange que permite realizar chamadas reais de teste sem implementação."
"Example / Sample Data","Dados de exemplo definidos no contrato (RAML/OAS) que o Mocking Service usa para compor a resposta."
"API Console","Interface interativa no Exchange onde desenvolvedores podem testar os métodos da API usando o simulador."
"Parallel Development","Prática de permitir que times de Front-end e Back-end trabalhem simultaneamente usando contratos simulados."
"Early Feedback","Processo de validar a estrutura da API com stakeholders e usuários finais antes de iniciar o desenvolvimento real."
"Prototyping","Criação de uma versão funcional e 'fake' da API para demonstrar fluxos de dados e lógica de interface."
"Behavior Headers","Cabeçalhos de comportamento que permitem forçar o Mock a retornar erros específicos (ex: forçar um 404 ou 500)."
"Status Code Simulation","Capacidade do Mocking Service de retornar diferentes códigos HTTP baseados nos exemplos da especificação."
"Design-First Validation","Ato de validar se o design da API atende aos requisitos de negócio através de testes com o Mocking Service."
"Public Mocking URL","URL de simulação que pode ser compartilhada com parceiros externos para testes de integração prévia."
"RAML/OAS Mocking","Suporte nativo do Exchange para gerar mocks a partir das principais linguagens de modelagem de API."
