"Termo (Front)","Definição (Back)"
"Trigger","Gatilho. O evento ou mudança em um sistema que inicia automaticamente o fluxo no Composer."
"Action Step","Passo de ação. A etapa onde o Composer interage com o sistema de destino para criar, atualizar ou buscar dados."
"Connection","Conexão. Configuração de acesso que armazena credenciais e autorização (geralmente OAuth) para um sistema."
"System-to-System","Integração entre sistemas. Comunicação direta entre diferentes plataformas de software."
"Mapping","Mapeamento. O ato de associar campos do sistema de origem (Source) aos campos do sistema de destino (Target)."
"Retrieving","Recuperação/Busca. Ação de trazer registros ou dados específicos de um sistema conectado."
"Field","Campo. A menor unidade de dado em um registro (ex: Nome, E-mail, Data)."
"Value","Valor. O conteúdo ou dado real armazenado dentro de um campo."
"Pick from List","Selecionar da lista. Interface do Composer que permite escolher campos disponíveis dinamicamente via API."
"To Fetch","Buscar/Trazer. Ato de solicitar e receber dados de uma fonte externa."
"To Populate","Preencher. O ato de inserir valores em campos específicos durante a execução do fluxo."
"To Sync","Sincronizar. Garantir que os dados em dois ou mais sistemas sejam consistentes e atualizados."
"To Authorize","Autorizar. O processo de conceder permissão ao Composer para acessar dados em um sistema (ex: Login via OAuth)."
