"Termo (Front)","Definição (Back)"
"OCR (Optical Character Recognition)","Reconhecimento Óptico de Caracteres. Tecnologia para extrair texto de imagens ou documentos digitalizados."
"Selector","Seletor. Atributo técnico (como ID ou Nome) usado para identificar um elemento de interface de forma única."
"Image Recognition","Reconhecimento de Imagem. Técnica que localiza um elemento na tela comparando-o com uma imagem de referência."
"Anchor","Âncora. Um elemento estável na tela usado como ponto de referência para localizar campos próximos que mudam de lugar."
"Screen Scraping","Extração de Tela. Processo de capturar dados visíveis na interface de um aplicativo para uso digital."
"Workflow","Fluxo de Trabalho. A sequência técnica de atividades que o robô executa dentro de uma 'Bot Task'."
"Keystrokes","Teclas Digitadas. Simulação de entrada de teclado para preencher formulários ou usar atalhos de sistema."
"Surface Automation","Automação de Superfície. Automação baseada apenas em coordenadas e pixels, usada quando não há acesso aos metadados do app."
"Variable / Constant","Variável / Constante. Contêineres de dados usados para transportar informações entre as atividades do robô."
"Excel Operations","Operações de Excel. Conjunto de atividades para manipular planilhas (Read, Write, Cell, Row)."
"Recorder","Gravador. Ferramenta que monitora as ações do desenvolvedor e gera automaticamente os passos iniciais do robô."
"Pattern Matching","Correspondência de Padrão. Técnica de busca para encontrar elementos que seguem uma lógica visual ou de texto definida."
