"Termo (Front)","Definição (Back)"
"Einstein Bot","Assistente virtual que utiliza Processamento de Linguagem Natural (NLP) para interagir com clientes e automatizar tarefas."
"Intent","Intenção. O objetivo por trás da mensagem do usuário (ex: 'Verificar status do pedido')."
"Utterance","Enunciado. Exemplos de frases reais fornecidas para treinar o robô a reconhecer uma intenção específica."
"Entity","Entidade. Tipo de dado extraído da conversa (ex: Data, Cidade, ID do pedido) para ser usado logicamente."
"Dialog","Diálogo. Blocos modulares que compõem a conversa e definem o comportamento do robô em cada etapa."
"Slot Filling","Preenchimento de Slots. O processo de coletar todas as informações (entidades) necessárias antes de realizar uma ação."
"Variable","Variável. Recurso usado para armazenar dados capturados do usuário para uso posterior em Flows ou regras."
"Dialog Action","Ação de Diálogo. Um passo que executa lógica de back-end, como disparar um Salesforce Flow ou código Apex."
"Dialog Question","Pergunta de Diálogo. Um elemento que pausa a conversa para coletar dados do usuário e salvá-los em uma variável."
"Transfer to Agent","Transferência para Agente. Regra que encaminha a sessão de chat para um atendente humano via Omni-Channel."
"NLP (Natural Language Processing)","Processamento de Linguagem Natural. O motor de IA que permite ao robô entender a linguagem humana não estruturada."
"Bot User","Usuário do Robô. O perfil de sistema que define quais permissões de dados o robô tem ao executar ações."
"Model Training","Treinamento do Modelo. O ato de processar os enunciados para que o robô aprenda a classificar intenções com precisão."
"Rule","Regra. Lógica condicional dentro de um diálogo que define para onde o usuário deve ser direcionado (ex: Redirect)."
