"Termo (Front)","Definição (Back)"
"API Specification","Especificação de API. O contrato técnico (RAML ou OAS) que define endpoints, métodos e tipos de dados."
"Design Center","Ambiente de desenvolvimento web usado para criar especificações de API e fluxos de integração simples."
"API Fragment","Fragmento de API. Componente reutilizável de uma especificação (ex: um esquema de erro ou tipo 'Cliente')."
"CloudHub","PaaS (Platform as a Service) gerenciado pela MuleSoft que permite o deploy de APIs na nuvem sem gerenciar servidores."
"Runtime Fabric (RTF)","Serviço de orquestração de containers que permite rodar aplicações Mule em instâncias Kubernetes (AWS, Azure, Google, On-prem)."
"Control Plane","Plano de Controle. Parte da plataforma onde os administradores desenham, gerenciam e monitoram as APIs."
"Runtime Plane","Plano de Execução. Onde as aplicações Mule e as APIs estão fisicamente rodando e processando dados."
"Worker / vCore","Unidades de medida de capacidade computacional (CPU e Memória) reservadas para uma aplicação no CloudHub."
"On-Premises","Implementação em servidores físicos ou máquinas virtuais gerenciadas pela própria organização, fora da nuvem da MuleSoft."
"API Manager","Componente da plataforma usado para governar APIs, gerenciar versões e aplicar políticas de segurança."
"RAML / OAS","Linguagens de modelagem (RESTful API Modeling Language / OpenAPI Specification) usadas para escrever contratos de API."
"Hybrid Deployment","Deploy Híbrido. Modelo onde o gerenciamento é na nuvem (Control Plane), mas a execução é local (Runtime Plane)."
