Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Sistemas sem API / Legados / Interface Windows / Trabalho manual de UI","MuleSoft RPA","Systems without API / Legacy / Windows Interface / Manual UI work","MuleSoft RPA"
"Integrações rápidas SaaS / Simples + Admin / No-code / Gargalo de TI","MuleSoft Composer","Fast SaaS integrations / Simple + Admin / No-code / IT bottleneck","MuleSoft Composer"
"Complexo + Reutilizável + Alto Volume / DataWeave / SOAP","Anypoint Platform","Complex + Reusable + High Volume / DataWeave / SOAP","Anypoint Platform"
"Processos de longa duração (dias/semanas) / Múltiplos departamentos / Stages e Steps","Flow Orchestration","Long-running processes (days/weeks) / Multiple departments / Stages and Steps","Flow Orchestration"
"Proteção de sistemas de destino / Spike Control / Rate Limiting","Anypoint API Manager","Target system protection / Spike Control / Rate Limiting","Anypoint API Manager"
"Falta de reutilização / Catálogo e compartilhamento de ativos API-led","Anypoint Exchange","Lack of reuse / API-led asset catalog and sharing","Anypoint Exchange"
"Interação humana via telas / Automação interna no CRM / Limites de DML","Salesforce Flow (Flow Builder)","Human interaction via screens / Internal CRM automation / DML limits","Salesforce Flow (Flow Builder)"
"Extração estruturada de PDFs estáticos e faturas usando IA","MuleSoft IDP","Structured extraction of static PDFs and invoices using AI","MuleSoft IDP"
"Triagem e atendimento inicial conversacional via chat","Einstein Bots","Triage and initial conversational support via chat","Einstein Bots"
"Testar a integração antes da API estar pronta","Mocking Service (Anypoint Exchange)","Testing the integration before the API is ready","Mocking Service (Anypoint Exchange)"
"Importar API externa no Flow (Formato exigido)","Open API specifications (OAS/Swagger)","Import external API into Flow (Required format)","Open API specifications (OAS/Swagger)"
"Passos para conectar Flow a API externa","Named Credentials > External Services > Action element","Steps to connect Flow to external API","Named Credentials > External Services > Action element"
"Processo de múltiplas etapas para um único usuário ou vários","Flow Orchestration","Multi-step process for a single user or multiple users","Flow Orchestration"
"Evitar limites de DML (DML limits) dentro de loops no Flow","Usar Collection variables e fazer o DML no final","Avoid DML limits inside Flow loops","Use Collection variables and perform DML at the end"
"Rotear 3 caminhos diferentes no Orchestrator","Evaluation flow (variável de número) + Decision element","Route 3 different paths in Orchestrator","Evaluation flow (number variable) + Decision element"
"Agrupar Stages no Orchestrator (Melhor prática)","Baseado em hand-offs (passagens de bastão) ou ramificações lógicas","Grouping Stages in Orchestrator (Best practice)","Based on hand-offs or logical branches"
"Atribuir item de trabalho a uma equipe inteira no Orchestrator","Group (Grupo) no Salesforce","Assign work item to an entire team in Orchestrator","Group in Salesforce"
"Pré-requisito obrigatório antes de testar fluxos no Composer","Gatilho e ações devem estar conectados a uma Sandbox","Mandatory prerequisite before testing Composer flows","Trigger and actions must be connected to a Sandbox"
"Decidir rotas entre 3 ou mais equipes (ex: Vendas, Produto, Suporte) no Composer","Switch/Case","Decide routes between 3 or more teams (e.g., Sales, Product, Support) in Composer","Switch/Case"
"Sincronização bidirecional entre 2 sistemas no Composer","Criar no mínimo 2 fluxos (um para cada direção)","Bidirectional sync between 2 systems in Composer","Create at least 2 flows (one for each direction)"
"Agendamentos nativos de tempo (Schedule) no Composer","A cada 5 minutos ou a cada 30 minutos","Native time scheduling in Composer","Every 5 minutes or every 30 minutes"
"Transformar texto 'true' em checkbox no Composer","Função fromStringToBoolean()","Transform 'true' text into checkbox in Composer","fromStringToBoolean() function"
"Combinar campos separados (Rua, Cidade) em uma lista para o NetSuite no Composer","Custom expression","Combine separate fields (Street, City) into a list for NetSuite in Composer","Custom expression"
"Etapa final no Composer após receber CSV do RPA","Create or Update Record (no Sales Cloud)","Final step in Composer after receiving CSV from RPA","Create or Update Record (in Sales Cloud)"
"Qualificadores principais para um processo ser candidato a RPA","Rule-based (baseado em regras) e Data-driven","Main qualifiers for a process to be an RPA candidate","Rule-based and Data-driven"
"Quem avalia e governa o ciclo de vida dos projetos de RPA","Center of Excellence (CoE)","Who evaluates and governs the RPA project lifecycle","Center of Excellence (CoE)"
