"Termo (Front)","Definição (Back)"
"Anypoint Exchange","Catálogo central de ativos de TI onde se pode descobrir, compartilhar e colaborar em APIs e integrações."
"Private Exchange","Repositório exclusivo da organização onde ativos são compartilhados internamente entre desenvolvedores."
"Public Portal","Extensão do Exchange que permite expor APIs selecionadas para consumidores externos ou parceiros."
"Asset","Qualquer item publicado no Exchange, incluindo APIs, conectores, fragmentos, modelos e bots de RPA."
"Exchange Contributor","Papel de permissão necessário para que um usuário possa publicar ou editar ativos no Exchange."
"Business Group","Estrutura hierárquica que permite organizar ativos e usuários por departamentos ou unidades de negócio."
"Versioning (SemVer)","Prática de atribuir versões (Major.Minor.Patch) aos ativos para gerenciar mudanças e compatibilidade."
"Asset Portal","Página de documentação de um ativo no Exchange que fornece instruções, exemplos e guias de uso."
"Tags / Categories","Metadados usados para classificar e facilitar a descoberta de ativos dentro do catálogo."
"Dependency","Referência a um ativo do Exchange (como um fragmento) que é importado para dentro de outro projeto."
"Publishing","O processo de carregar um contrato ou aplicação para o Exchange, tornando-o um ativo disponível para reuso."
"Markdown Documentation","Linguagem de marcação usada para criar páginas de documentação ricas dentro do portal do ativo."
