"Termo (Front)","Definição (Back)"
"Flow Orchestrator","Ferramenta que combina múltiplos fluxos em um processo coordenado e de longa duração."
"Stage","Estágio. Uma fase do processo que agrupa um ou mais passos relacionados."
"Step","Passo. Uma unidade de trabalho individual dentro de um estágio, que executa um fluxo específico."
"Interactive Step","Passo Interativo. Uma tarefa que requer que um usuário humano interaja com um Screen Flow."
"Background Step","Passo de Fundo. Uma tarefa automatizada que executa um Autolaunched Flow sem intervenção humana."
"Sequential Steps","Passos Sequenciais. Configuração onde os passos de um estágio são executados um após o outro."
"Parallel Steps","Passos Paralelos. Configuração onde múltiplos passos de um estágio são executados simultaneamente."
"Entry Condition","Condição de Entrada. Critérios que devem ser atendidos para que um estágio ou passo comece a ser executado."
"Exit Condition","Condição de Saída. Critérios que determinam quando um estágio ou passo é considerado finalizado."
"Evaluation Flow","Fluxo de Avaliação. Um fluxo especializado usado para testar logicamente as condições de entrada ou saída."
"Orchestration Run","Instância de Orquestração. O registro que rastreia o progresso de uma execução específica do orquestrador."
"Workstream","Fluxo de Trabalho. A visão macro da sequência de estágios e passos que compõem o processo completo."
"Assignee","Responsável. O usuário, grupo ou fila designado para completar um passo interativo."
"Work Guide","Guia de Trabalho. O componente na interface do Salesforce que mostra o passo interativo para o usuário responsável."
