"Termo (Front)","Definição (Back)"
"External Services","Serviços Externos. Recurso que permite ao Flow consumir APIs externas usando especificações OpenAPI/Swagger sem código."
"Named Credential","Credencial Nomeada. Recurso de segurança que armazena a URL de um endpoint e seus parâmetros de autenticação (ex: OAuth)."
"Invocable Action","Ação Invocável. Método de código Apex anotado com @InvocableMethod para ser visível e chamado pelo Flow Builder."
"Autolaunched Flow","Fluxo Iniciado Automaticamente. Um fluxo que não possui gatilho próprio e deve ser chamado por APIs, Apex ou outros fluxos."
"Subflow","Sub-fluxo. Um elemento que permite chamar um fluxo dentro de outro, promovendo modularidade e o princípio DRY (Don't Repeat Yourself)."
"Platform Event","Evento de Plataforma. Mensagem baseada em eventos usada para comunicação desacoplada entre o Salesforce e sistemas externos."
"Input / Output Variables","Variáveis de Entrada/Saída. Recursos do fluxo marcados para permitir que dados entrem ou saiam do processo durante a execução."
"HTTP Callout","Chamada HTTP. Funcionalidade declarativa do Flow para realizar requisições GET, POST, PUT, etc., diretamente para APIs externas."
"OpenAPI Specification","Especificação OpenAPI. O contrato JSON/YAML que descreve uma API e é usado pelo Salesforce para gerar External Services."
"Apex Action","Ação Apex. Um elemento do Flow usado para executar lógicas complexas que excedem as capacidades declarativas da ferramenta."
"Decoupling","Desacoplamento. Estratégia de design onde o Flow usa eventos ou serviços externos para reduzir a dependência direta entre sistemas."
"JSON Body","Corpo JSON. A estrutura de dados enviada ou recebida em integrações via Flow, mapeada automaticamente para variáveis."
