"Termo (Front)","Definição (Back)"
"CloudHub","PaaS totalmente gerenciado pela MuleSoft na AWS. Oferece alta disponibilidade e escalabilidade automática sem gestão de servidores."
"Worker","Instância dedicada no CloudHub que executa uma aplicação Mule. Possui CPU e memória isoladas."
"vCore","Unidade de medida de capacidade de processamento para Workers no CloudHub (ex: 0.1 vCore, 1 vCore)."
"Runtime Fabric (RTF)","Serviço de containers que permite rodar aplicações Mule em Kubernetes (EKS, GKE, AKS) gerenciados pelo cliente."
"On-Premises (Standalone)","Instalação do Mule Runtime diretamente em servidores ou VMs do cliente, que assume total responsabilidade pela infraestrutura."
"Control Plane","Plano de Controle. Onde residem os serviços de gerenciamento (Design Center, Exchange, API Manager) na nuvem da MuleSoft."
"Runtime Plane","Plano de Execução. Onde as aplicações Mule são instaladas e processam os dados (pode ser na nuvem ou on-prem)."
"Hybrid Deployment","Modelo onde o gerenciamento é feito no Control Plane (nuvem), mas a execução ocorre no Runtime Plane local do cliente."
"Server Group","Grupo de Servidores. Coleção de instâncias locais que recebem o deploy da mesma aplicação para balanceamento de carga."
"Cluster","Dois ou mais servidores locais agindo como uma unidade, permitindo compartilhamento de dados e alta disponibilidade real."
"Anypoint Runtime Manager","Interface centralizada para realizar o deploy, monitorar e gerenciar aplicações em qualquer modelo (CloudHub, RTF ou On-prem)."
"Shared Worker Cloud","Ambiente multitenant do CloudHub onde os recursos são isolados logicamente, mas residem na infra da MuleSoft."
