Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Conceito: O que significa uma solução End-to-End (E2E) no contexto de hiperautomação?","A capacidade de automatizar um processo completo de negócio, do gatilho inicial ao resultado final, conectando múltiplos sistemas sem intervenção manual.","Concept: What does an End-to-End (E2E) solution mean in the context of hyperautomation?","The ability to automate a complete business process, from the initial trigger to the final result, connecting multiple systems without manual intervention."
"Conceito: O que são Design Patterns (Padrões de Projeto)?","Soluções arquiteturais testadas e reutilizáveis para problemas comuns no design de software e integrações.","Concept: What are Design Patterns?","Tested and reusable architectural solutions for common problems in software design and integrations."
"Arquitetura: O que engloba o conceito de Fault Handling (Tratamento de Falhas)?","Estratégias (como retries e try/catch) para garantir que um sistema lide graciosamente com falhas técnicas ou de negócios sem corromper dados.","Architecture: What encompasses the concept of Fault Handling?","Strategies (like retries and try/catch) to ensure a system gracefully handles technical or business failures without corrupting data."
"Arquitetura: Qual é a premissa de uma Distributed Systems Architecture (Arquitetura de Sistemas Distribuídos)?","Um sistema onde os componentes estão localizados em redes diferentes e se comunicam através de troca de mensagens (ex: microsserviços).","Architecture: What is the premise of a Distributed Systems Architecture?","A system where components are located on different networks and communicate by passing messages (e.g., microservices)."
"Engenharia: O que é o princípio de Clean Code (Código Limpo)?","Práticas de escrita de código focadas na legibilidade, simplicidade e facilidade de manutenção para outros desenvolvedores.","Engineering: What is the Clean Code principle?","Code writing practices focused on readability, simplicity, and ease of maintenance for other developers."
"Engenharia: O que significa fazer um Trade-off em arquitetura de software?","O compromisso feito ao escolher uma abordagem em detrimento de outra (ex: escolher velocidade de entrega sacrificando escalabilidade).","Engineering: What does making a Trade-off mean in software architecture?","The compromise made when choosing one approach over another (e.g., choosing speed of delivery sacrificing scalability)."
"Automação: O que é Web Scraping e como ele se relaciona com o RPA?","É a extração automatizada de dados de sites. O RPA utiliza web scraping (leitura de telas) quando o site alvo não disponibiliza uma API oficial.","Automation: What is Web Scraping and how does it relate to RPA?","It is the automated extraction of data from websites. RPA uses web scraping (screen reading) when the target site lacks an official API."
"Testes: Qual é o objetivo do E2E Testing (Teste Ponta a Ponta)?","Validar o fluxo completo do sistema, garantindo que todas as ferramentas (Flow, Composer, RPA, Anypoint) funcionam perfeitamente juntas.","Testing: What is the objective of E2E Testing (End-to-End Testing)?","Validate the entire system flow, ensuring all tools (Flow, Composer, RPA, Anypoint) work perfectly together."
"MuleSoft RPA: O que é um ActionStep?","É o bloco de construção individual (a menor unidade de lógica) no RPA Builder que executa uma ação específica, como 'clicar' ou 'digitar'.","MuleSoft RPA: What is an ActionStep?","It is the individual building block (the smallest logic unit) in RPA Builder that executes a specific action, like 'click' or 'type'."
"Infraestrutura: O que significa On-premises?","Sistemas, bancos de dados ou servidores hospedados fisicamente nas instalações da própria empresa, em vez de na nuvem pública.","Infrastructure: What does On-premises mean?","Systems, databases, or servers hosted physically at the company's own facilities, rather than in the public cloud."
