"Termo (Front)","Definição (Back)"
"Evaluation Flow","Um tipo específico de Autolaunched Flow que retorna um valor booleano para decidir se um passo ou estágio deve iniciar ou terminar."
"Entry Condition","Condição de Entrada. Conjunto de regras que o orquestrador verifica antes de permitir que um estágio ou passo seja executado."
"Exit Condition","Condição de Saída. Critérios que devem ser verdadeiros para que o orquestrador considere um passo ou estágio como concluído."
"isCompleted","A variável booleana de saída obrigatória em um Evaluation Flow de saída que, quando True, encerra o passo."
"canStart","A variável booleana de saída usada em Evaluation Flows de entrada para sinalizar que os pré-requisitos foram atendidos."
"Boolean Output","Saída Booleana. O formato obrigatório de resposta (Verdadeiro/Falso) que o orquestrador espera de um fluxo de avaliação."
"Custom Evaluation","Avaliação Customizada. O uso de um fluxo para criar lógicas complexas que não seriam possíveis com filtros simples de campo."
"Step Execution","Execução do Passo. O estado em que o passo se encontra após passar pela condição de entrada e antes de atingir a saída."
"Guard Clause","Cláusula de Guarda. Conceito de engenharia análogo às Entry Conditions, que evita a execução se os requisitos não forem atendidos."
"Quality Gate","Portão de Qualidade. Conceito de DevOps análogo às Exit Conditions, garantindo que o processo só avance se estiver correto."
"Orchestration Stage Status","Status do Estágio da Orquestração. O estado (Started, Completed, In Progress) controlado pelas condições de avaliação."
"Record Field Change","Mudança de Campo do Registro. Um gatilho comum usado dentro de fluxos de avaliação para disparar a progressão do processo."
