"Termo (Front)","Definição (Back)"
"Bot Runs","Execuções do Robô. O registro histórico de todas as vezes que um processo foi iniciado."
"Success Rate","Taxa de Sucesso. Métrica que indica a porcentagem de execuções finalizadas sem erros."
"Analysis Stage","Estágio de Análise. Fase do ciclo de vida onde execuções falhas são enviadas para investigação."
"Error Screenshot","Captura de Tela de Erro. Foto automática tirada pelo robô no exato momento da falha para ajudar no diagnóstico."
"Log Analysis","Análise de Logs. Exame detalhado das mensagens geradas pelo robô durante cada atividade do workflow."
"Heartbeat","Sinal de Vida. Monitoramento que verifica se o RPA Worker está conectado e pronto para receber tarefas."
"Troubleshooting","Solução de Problemas. O processo sistemático de encontrar e corrigir falhas em uma automação."
"Root Cause","Causa Raiz. O motivo fundamental de um erro (ex: mudança na UI do sistema legado ou queda de rede)."
"Dashboard","Painel de Controle. Interface visual no RPA Manager que resume o status e a performance de todos os robôs."
"Alerts","Alertas. Configurações que enviam notificações imediatas quando um robô falha ou um Worker fica offline."
"Execution Details","Detalhes da Execução. Informações granulares sobre o tempo de duração e dados processados em uma corrida."
"Remote Debug","Depuração Remota. Técnica de investigar erros diretamente no ambiente onde o robô está rodando."
