"Termo (Front)","Definição (Back)"
"Formula Editor","Editor de Fórmulas. Interface onde se criam expressões para transformar dados no Composer."
"Concatenate","Concatenar. Unir duas ou mais strings de texto em uma única."
"Substring","Sub-string. Extrair uma parte específica de um texto maior."
"Trim","Remover espaços. Função que limpa espaços em branco extras no início ou fim de um texto."
"Arithmetic Operations","Operações Aritméticas. Cálculos matemáticos básicos (adição, subtração, multiplicação, divisão)."
"Round","Arredondar. Ajustar um número decimal para o inteiro ou casa decimal mais próxima."
"Date Difference","Diferença de Datas. Cálculo da quantidade de tempo (dias, horas) entre dois pontos no tempo."
"Add Days / Months","Adicionar Dias/Meses. Função para calcular uma data futura baseada em um valor inicial."
"Typecasting / Conversion","Conversão de Tipo. Transformar um dado de um tipo para outro (ex: String para Number)."
"Now / Today","Agora / Hoje. Funções que capturam o carimbo de data/hora exato do momento da execução."
"Upper / Lower Case","Maiúsculas / Minúsculas. Funções de formatação de texto para padronização."
"Expression","Expressão. Uma combinação de valores, campos e funções que resultam em um novo dado."
