"Pergunta","Resposta"
"Qual ferramenta usar para sincronização bidirecional entre orgs Salesforce sem usar código?","MuleSoft Composer, sendo necessário criar no mínimo 2 fluxos separados."
"Onde o Composer envia notificações automáticas quando ocorre um erro no fluxo?","Para o endereço de e-mail configurado."
"Qual componente do Composer deve ser usado para rotear um fluxo por 3 ou mais caminhos baseados em critérios exclusivos?","O bloco lógico Switch/Case."
"Qual formato de especificação de API deve ser importado para criar External Services no Salesforce Flow?","OpenAPI specifications (OAS / Swagger)."
"Como evitar exceder os limites de DML (Governor Limits) em um Salesforce Flow?","Deve-se evitar colocar operações DML dentro de loops, utilizando variáveis de coleção (collection variables) para salvar os dados fora do loop no final do fluxo."
"Quando se deve escolher o Flow Orchestration no lugar de um Flow simples?","Quando o processo envolve múltiplas etapas, vários usuários ou passagens de bastão (hand-offs) entre diferentes departamentos."
"Qual ferramenta usar para automatizar sistemas legados (ex: tela verde ou aplicações desktop) que não possuem APIs?","MuleSoft RPA."
"O que o MuleSoft RPA Recorder captura automaticamente durante a gravação manual?","A documentação dos elementos de interface usados pelo usuário, como cliques, capturas de tela e IDs."
"Onde os planos de teste (Test Plans) do MuleSoft RPA são executados fisicamente?","Diretamente em um RPA Bot configurado."
"Se um processo RPA demora horas para terminar por possuir uma tarefa humana, como o MuleSoft Composer deve consumir o resultado?","Deve-se criar um segundo fluxo independente no Composer que inicie apenas quando o processo RPA estiver totalmente concluído."
"Na arquitetura API-led, em qual camada ocorre a agregação e transformação de dados de múltiplas fontes?","Na camada de Process API."
"Qual política de API deve ser aplicada no API Manager para proteger um sistema de backend frágil contra picos/rajadas repentinas de tráfego?","Spike Control."
"Qual política de API é usada para limitar a quantidade de requisições de um cliente individual com base em contratos?","Rate Limiting - SLA-Based."
"Como compartilhar uma API Mule internamente com outras equipes para promover a reutilização na organização?","Publicando a API no portal privado (Private Exchange) do Anypoint Exchange."
"Qual recurso do Anypoint Exchange permite que equipes de Flow testem integrações simuladas antes de a API real estar totalmente desenvolvida?","O Mocking Service."
"Integração simples entre sistemas SaaS (Salesforce, Slack, NetSuite) por usuário não-técnico (no-code)","MuleSoft Composer"
"Enviar notificação de erro automaticamente quando um fluxo de integração falha","Configurar o endereço de e-mail no MuleSoft Composer"
"Sincronização bidirecional em tempo real entre duas orgs Salesforce (Real-time)","MuleSoft Composer (Exige no mínimo 2 fluxos separados)"
"Rotear fluxo para 3 ou mais caminhos baseados em critérios excludentes (ex: Sales, Product, Support)","Bloco lógico Switch/Case (MuleSoft Composer)"
"Transformar texto 'true' ou 'false' vindo de um ERP para um campo Checkbox booleano","Função fromStringToBoolean() (MuleSoft Composer)"
