Frente (Gatilho/Cenário),Verso (Ferramenta Correta)
"Sistemas sem API / Legados / Interface Windows / Trabalho manual de UI","MuleSoft RPA"
"Integrações rápidas SaaS / Simples + Admin / No-code / Gargalo de TI","MuleSoft Composer"
"Complexo + Reutilizável + Alto Volume / DataWeave / SOAP","Anypoint Platform"
"Processos de longa duração (dias/semanas) / Múltiplos departamentos / Stages e Steps","Flow Orchestration"
"Proteção de sistemas de destino / Spike Control / Rate Limiting","Anypoint API Manager"
"Falta de reutilização / Catálogo e compartilhamento de ativos API-led","Anypoint Exchange"
"Interação humana via telas / Automação interna no CRM / Limites de DML","Salesforce Flow (Flow Builder)"
"Extração estruturada de PDFs estáticos e faturas usando IA","MuleSoft IDP"
"Triagem e atendimento inicial conversacional via chat","Einstein Bots"
"Testar a integração antes da API estar pronta","Mocking Service (Anypoint Exchange)"
"Importar API externa no Flow (Formato exigido)","Open API specifications (OAS/Swagger)"
"Passos para conectar Flow a API externa","Named Credentials > External Services > Action element"
"Processo de múltiplas etapas para um único usuário ou vários","Flow Orchestration"
"Evitar limites de DML (DML limits) dentro de loops no Flow","Usar Collection variables e fazer o DML no final"
"Rotear 3 caminhos diferentes no Orchestrator","Evaluation flow (variável de número) + Decision element"
"Agrupar Stages no Orchestrator (Melhor prática)","Baseado em hand-offs (passagens de bastão) ou ramificações lógicas"
"Atribuir item de trabalho a uma equipe inteira no Orchestrator","Group (Grupo) no Salesforce"
"Pré-requisito obrigatório antes de testar fluxos no Composer","Gatilho e ações devem estar conectados a uma Sandbox"
"Decidir rotas entre 3 ou mais equipes (ex: Vendas, Produto, Suporte) no Composer","Switch/Case"
"Sincronização bidirecional entre 2 sistemas no Composer","Criar no mínimo 2 fluxos (um para cada direção)"
"Agendamentos nativos de tempo (Schedule) no Composer","A cada 5 minutos ou a cada 30 minutos"
"Transformar texto 'true' em checkbox no Composer","Função fromStringToBoolean()"
"Combinar campos separados (Rua, Cidade) em uma lista para o NetSuite no Composer","Custom expression"
"Etapa final no Composer após receber CSV do RPA","Create or Update Record (no Sales Cloud)"
"Qualificadores principais para um processo ser candidato a RPA","Rule-based (baseado em regras) e Data-driven"
"Quem avalia e governa o ciclo de vida dos projetos de RPA","Center of Excellence (CoE)"
"O que o RPA Recorder captura automaticamente","Documentação de UI, keystrokes, wait times e screenshots"
"Significado do Losango com 'X' no BPMN do RPA","Exclusive Gateway (Ponto de decisão lógica)"
"Onde os Test Plans do RPA são efetivamente executados","Em um RPA Bot configurado"
"Primeiro passo prático para criar uma nova API","RAML definition no Design Center"
"Compartilhar um 'esqueleto de projeto' com outras equipes da empresa","Template asset no Anypoint Exchange"
"Política para limitar requisições de um cliente específico/individual","Rate Limiting - SLA-Based"
"Estratégia de Deploy na AWS (nuvem própria) com zero-downtime","Runtime Fabric (RTF)"
"Escopo do Connected App para conectar o RPA ao Anypoint","RPA Integrator"
"Importar API externa no Salesforce Flow","Open API specifications (OAS/Swagger) [cite: 25, 26]"
"Notificações de erro no Composer (além da tela Flow Details)","Endereço de e-mail configurado [cite: 41, 42]"
"Sincronização bidirecional entre duas orgs no Composer","No mínimo 2 fluxos [cite: 60, 61, 62]"
"Processo multi-etapas para um usuário no Salesforce","Flow Orchestration (Stages e Steps) [cite: 79, 80]"
"O que o RPA Recorder captura automaticamente?","Documentação dos elementos, keystrokes e wait times [cite: 101, 1018]"
"Criar testes automatizados integrados (ex: MUnit)","Anypoint Platform [cite: 119, 120]"
"Ação obrigatória antes de testar fluxos no Composer","Conectar gatilho e ações a uma Sandbox [cite: 135, 137]"
"Primeiro passo prático para criar uma nova API","Criar definição RAML no Design Center [cite: 157]"
"Exibir mensagem após usuário errar pergunta no Einstein Bot","Opção de diálogo: Message [cite: 172, 173]"
"Debugar falha de RPA em Produção","Baixar Analysis Package e importar no RPA Builder [cite: 192, 194]"
"Camada da API-led que agrega e transforma dados","Process API [cite: 379, 380]"
"Estratégia de deploy na AWS com zero-downtime","Runtime Fabric (RTF) [cite: 240, 241]"
"Testes agendados para verificar status da API e banco de dados","API Functional Monitoring [cite: 1093, 1094]"
"Evitar limites de DML no Flow Builder","Usar Collection variables (fora de For Loops) [cite: 283, 284]"
"Passos para conectar Flow a API externa","Named Credentials > External Services > Action element [cite: 399, 400, 401]"
"Compartilhar API no portal público do Exchange","Configurar o 'visibility level' como public [cite: 419]"
"Transferência de dados entre orgs + workflow longo de multi-usuários","MuleSoft Composer + Flow Orchestration [cite: 432, 433]"
"Atualizar Conta relacionada quando um Pedido for concluído","Record-triggered flow no objeto Order [cite: 481]"
"Qualificadores para um processo ser candidato a RPA","Rule-based (regras) e Data-driven (dados) [cite: 499]"
"Transformar dados de sistema fonte para destino (usuário não-técnico)","MuleSoft Composer [cite: 517, 518]"
"Proteger e expor APIs não-MuleSoft de forma rápida","Criar um proxy na frente de cada API [cite: 531]"
"Prevenir sobrecarga do RPA por rajadas de tráfego","Spike Control [cite: 572, 573]"
"Rotear casos para 3+ equipes diferentes no Composer","Componente Switch/Case [cite: 589, 590]"
"Migração de ETL (Integrações Simples vs. Complexas)","Composer (Simples) e Anypoint Platform (Complexas) [cite: 653]"
"Agendamentos nativos de tempo no Composer (Schedule)","A cada 5 minutos ou a cada 30 minutos [cite: 674, 675]"
"Limitar número de requisições de um cliente individual (Client)","Rate Limiting - SLA-Based [cite: 689, 690]"
"Determinar 3 caminhos de saída no Orchestrator","Evaluation flow (número) + Decision element [cite: 713, 714]"
"Onde os planos de teste (Test Plans) do RPA são executados?","Em um RPA Bot configurado [cite: 732]"
"Integração SOAP bidirecional quase em tempo real","Anypoint Studio [cite: 747, 748, 749]"
"Ação para quando um processo agendado em sessão única atrasa","Aguardar a primeira execução ser concluída [cite: 766, 767]"
