Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Qual é a 'Regra de Ouro' absoluta para operações de banco de dados (DML) ao construir um Salesforce Flow?","Nunca coloque instruções DML (Create, Update, Delete) dentro de laços de repetição (For Loop occurrences).","What is the absolute 'Golden Rule' for database operations (DML) when building a Salesforce Flow?","Never place DML statements (Create, Update, Delete) inside For Loop occurrences."
"O que acontece se você colocar uma ação DML dentro de um For Loop ao processar uma grande quantidade de registros?","O fluxo falhará por atingir os Limites de Governador do Salesforce (DML Governor Limits).","What happens if you place a DML action inside a For Loop when processing a large amount of records?","The flow will fail due to hitting Salesforce's DML Governor Limits."
"Qual é a técnica e a variável correta exigida pela prova para salvar múltiplos registros de uma só vez?","Fazer o loop armazenando os dados em uma Variável de Coleção (Collection Variable) e usar um único comando DML no final.","What is the correct technique and variable required by the exam to save multiple records at once?","Loop through the data storing it in a Collection Variable and use a single DML statement at the end."
"Onde o elemento DML deve ser posicionado no fluxo quando se está processando uma lista de itens?","Fora do laço de repetição (outside the loop), preferencialmente no final do fluxo.","Where should the DML element be positioned in the flow when processing a list of items?","Outside the loop, preferably at the end of the flow."
"Como se chama a melhor prática arquitetural exigida pelo Salesforce para lidar com operações de dados em massa de forma eficiente?","Bulkification (Processamento em lote via Bulk DML operations).","What is the architectural best practice required by Salesforce to handle mass data operations efficiently called?","Bulkification (Bulk DML operations)."
"Cenário de Prova: Um Admin relata que seu fluxo está falhando por bater os DML Governor Limits durante os testes. Qual o principal conselho a ser dado?","Fazer um loop através de uma variável de coleção (Collection Variable) para salvar mais registros com uma única declaração DML.","Exam Scenario: An Admin reports their flow is failing due to hitting DML Governor Limits during testing. What is the main advice to give?","Loop through a Collection Variable to save more records with a single DML statement."
"Verdadeiro ou Falso: Para evitar erros de DML no Flow, basta usar a ação de Upsert dentro do loop para reduzir as chamadas.","Falso. Ação DML dentro de loop sempre consome os limites. O correto é usar a Collection Variable e salvar os dados fora do laço.","True or False: To avoid DML errors in Flow, simply use the Upsert action inside the loop to reduce calls.","False. DML actions inside a loop always consume limits. The correct approach is to use a Collection Variable and save data outside the loop."
"Por que o Salesforce impõe os chamados DML Governor Limits em seus fluxos?","Para proteger os sistemas backend da arquitetura multilocatário (multitenant) de serem sobrecarregados por execuções ineficientes (como consultas e DML repetidos em loops).","Why does Salesforce impose so-called DML Governor Limits on its flows?","To protect the backend systems of the multitenant architecture from being overwhelmed by inefficient executions (like repeated queries and DML in loops)."
"Se um fluxo precisa processar 150 registros recebidos, quantas operações DML o fluxo deve consumir se desenhado corretamente?","Apenas 1 operação DML. O loop será usado apenas para preencher a Collection Variable, que será inserida ou atualizada de uma só vez ao final.","If a flow needs to process 150 incoming records, how many DML operations should the flow consume if designed correctly?","Only 1 DML operation. The loop will only be used to populate the Collection Variable, which will be inserted or updated all at once at the end."
"Em um cenário ponta a ponta (E2E), se o Salesforce Flow é acionado para criar 50 registros baseados no resultado de um robô RPA, qual elemento resolve isso de forma segura?","Um elemento de Create Records posicionado fora de qualquer loop, recebendo diretamente a Collection Variable populada.","In an end-to-end (E2E) scenario, if Salesforce Flow is triggered to create 50 records based on an RPA bot result, which element solves this safely?","A Create Records element positioned outside any loop, directly receiving the populated Collection Variable."
