"Termo (Front)","Definição (Back)"
"Fault Path","Caminho de falha. Recurso do Salesforce Flow para tratar erros em elementos de dados (conectores vermelhos)."
"Retry Logic","Lógica de tentativa. Configuração para que o sistema tente executar a ação novamente após uma falha temporária."
"Exception","Exceção. Um evento inesperado que interrompe o fluxo normal de execução do software."
"Timeout","Tempo limite esgotado. Erro que ocorre quando um sistema demora mais que o permitido para responder."
"Validation Error","Erro de validação. Ocorre quando os dados enviados não atendem aos requisitos (ex: campo obrigatório vazio)."
"Resilience","Resiliência. A capacidade de um sistema de se recuperar de falhas e continuar operando."
"To Catch","Capturar. O ato de interceptar um erro para que ele seja tratado em vez de encerrar o programa abruptamente."
"To Notify","Notificar. Enviar um alerta (e-mail, Slack) para informar que uma falha ocorreu."
"On Error Propagate","Propagar erro. Padrão do MuleSoft que faz a transação falhar e 'estoura' o erro para o sistema pai."
"On Error Continue","Continuar apesar do erro. Padrão do MuleSoft que registra o erro, mas permite que o fluxo siga adiante."
"Compensating Action","Ação compensatória. Lógica para desfazer passos anteriores caso uma falha ocorra no meio de um processo longo."
"Error Logs","Registros de erro. Histórico detalhado das falhas para fins de auditoria e depuração (debugging)."
"Alerts","Alertas. Avisos automáticos disparados por sistemas de monitoramento quando falhas são detectadas."
"Dead Letter Queue (DLQ)","Fila de mensagens mortas. Local onde mensagens que falharam repetidamente são armazenadas para análise manual."
