"Termo (Front)","Definição (Back)"
"Asynchronous","Disparar e esquecer (Fire-and-forget). O remetente não espera a resposta imediata."
"Synchronous","Esperar uma resposta imediata (Request-Response). O remetente fica bloqueado até receber o retorno."
"Real-time","Processamento instantâneo. O dado é enviado e processado assim que o evento ocorre."
"Batch Processing","Processamento em lote. Grande volume de dados processados de uma única vez, geralmente agendado."
"Event-Driven","Arquitetura baseada em eventos. O fluxo é iniciado por gatilhos (Triggers) de mudanças no sistema."
"Pub/Sub (Publish/Subscribe)","Padrão onde um sistema publica uma mensagem e múltiplos assinantes podem recebê-la."
"Polling","Ficar perguntando ao sistema 'tem algo novo?' periodicamente. Considerado anti-padrão se houver alternativas reais."
"Callback","O sistema B avisa o sistema A ativamente quando uma tarefa longa é finalizada."
"Broadcast","Envio de uma mensagem para todos os canais ou sistemas conectados simultaneamente."
"Outbound Message","Mensagem de saída do Salesforce. Um recurso nativo para enviar dados para serviços externos de forma assíncrona."
"Platform Events","Eventos de plataforma do Salesforce. Usados para comunicação interna e externa desacoplada."
"Webhook","Um gatilho HTTP (geralmente POST) que avisa sistemas como o Composer ou Anypoint sobre uma mudança."
