"Termo (Front)","Definição (Back)"
"Unified Platform","Plataforma Unificada. Integração de Anypoint, Composer e RPA para gerenciar todo o ciclo de vida da hiperautomação em um só lugar."
"Management Center","Centro de Gerenciamento. Interface unificada para administrar APIs, usuários, segurança e monitorar o tráfego."
"API-led Connectivity","Conectividade liderada por APIs. Abordagem arquitetural que organiza APIs em camadas: Experience, Process e System."
"Anypoint Visualizer","Visualizador. Ferramenta que gera automaticamente um mapa topográfico das APIs e suas dependências em tempo real."
"API Lifecycle Management","Gestão do Ciclo de Vida da API. Processo completo desde o Design, Simulação, Publicação até a Segurança e Aposentadoria."
"Anypoint Exchange","A 'Single Source of Truth' para ativos de TI; onde se descobre, compartilha e testa APIs, conectores e fragmentos."
"Runtime Manager","Componente usado para implantar (deploy) e gerenciar aplicações Mule em diferentes ambientes (Cloud ou Local)."
"API Manager","Ferramenta para aplicar políticas de segurança (como OAuth e Rate Limiting) e gerenciar contratos de acesso (SLA)."
"Design Center","Suíte de ferramentas baseada em nuvem para projetar especificações de API e testar mockups rapidamente."
"Anypoint Monitoring","Ferramenta de observabilidade que fornece dashboards detalhados e alertas sobre a saúde das APIs e infraestrutura."
"Object Store","Serviço de armazenamento de chave-valor para persistir dados entre execuções de fluxos (similar a um Redis gerenciado)."
"Anypoint Security","Camada de proteção que inclui Tokenization, Edge Gateway e políticas avançadas de defesa para APIs."
