Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Cenário de Prova: Quem é o grupo de especialistas responsável por avaliar, aprovar e gerenciar todo o ciclo de vida de um processo candidato a automação no MuleSoft RPA?","Center of Excellence (CoE).","Exam Scenario: Who is the group of experts responsible for evaluating, approving, and managing the entire lifecycle of an automation candidate process in MuleSoft RPA?","Center of Excellence (CoE)."
"Cenário de Prova: Qual é o modelo operacional focado em capacitar equipes (empowering teams), promover a reutilização de ativos (APIs, templates) e evangelizar melhores práticas na organização?","Center for Enablement (C4E).","Exam Scenario: What is the operating model focused on empowering teams, promoting the reuse of assets (APIs, templates), and evangelizing best practices in the organization?","Center for Enablement (C4E)."
"Palavras-chave na Prova: 'Manage the RPA process throughout its lifecycle', 'Approve candidate processes', 'RPA Manager approval'. Qual é a resposta?","Center of Excellence (CoE).","Exam Keywords: 'Manage the RPA process throughout its lifecycle', 'Approve candidate processes', 'RPA Manager approval'. What is the answer?","Center of Excellence (CoE)."
"Palavras-chave na Prova: 'Promoting reuse of assets', 'Empowering teams', 'API-led connectivity culture', 'Citizen integrators'. Qual é a resposta?","Center for Enablement (C4E).","Exam Keywords: 'Promoting reuse of assets', 'Empowering teams', 'API-led connectivity culture', 'Citizen integrators'. What is the answer?","Center for Enablement (C4E)."
"A Grande Diferença (Conceito): Qual é a principal diferença de postura cobrada na prova entre o CoE e o C4E?","O CoE atua na governança e gestão centralizada (aprova o que vira ou não um robô). O C4E atua na capacitação descentralizada e incentivo contínuo à reutilização de APIs e ativos.","The Big Difference (Concept): What is the main difference in approach tested on the exam between CoE and C4E?","The CoE acts in centralized governance and management (approves what becomes a bot or not). The C4E acts in decentralized enablement and continuous encouragement of API and asset reuse."
"Cenário de Prova: Ao aprovar um processo candidato de automação na fase de *Evaluation* do RPA Manager, a quem o analista deve atribuir o projeto para garantir o gerenciamento correto?","Ao Center of Excellence (CoE) ou a um Gerente de Projetos específico.","Exam Scenario: When approving an automation candidate process in the Evaluation phase of RPA Manager, to whom should the analyst assign the project to ensure proper management?","To the Center of Excellence (CoE) or a specific Project Manager."
"Cenário de Prova: A empresa quer dar autonomia aos administradores de negócio usarem o MuleSoft Composer, mas sem perder a padronização e o controle das integrações. Qual modelo de governança apoia isso?","Adoção do modelo C4E (Center for Enablement), definindo padrões e dando suporte aos 'citizen integrators'.","Exam Scenario: The company wants to give business administrators autonomy to use MuleSoft Composer, but without losing standardization and control of integrations. Which governance model supports this?","Adoption of the C4E (Center for Enablement) model, defining standards and supporting 'citizen integrators'."
"Cenário de Prova: Para evitar que diferentes equipes construam a mesma integração ou o mesmo login de RPA do zero, qual filosofia incentiva a publicação desses blocos no Anypoint Exchange?","A filosofia do Center for Enablement (C4E).","Exam Scenario: To prevent different teams from building the same integration or the same RPA login from scratch, which philosophy encourages publishing these blocks to Anypoint Exchange?","The Center for Enablement (C4E) philosophy."
"Cenário de Prova: Uma organização percebe que várias integrações ponto a ponto estão sendo duplicadas para o mesmo sistema legado. Qual prática da MuleSoft resolve esse problema?","Adotar a mentalidade C4E: criar APIs reutilizáveis (System/Process) e catalogá-las no Anypoint Exchange para consumo global.","Exam Scenario: An organization notices that several point-to-point integrations are being duplicated for the same legacy system. Which MuleSoft practice solves this problem?","Adopting the C4E mindset: creating reusable APIs (System/Process) and cataloging them in Anypoint Exchange for global consumption."
"Cenário de Prova: O desenvolvedor principal da organização atua garantindo que os padrões de design sejam seguidos por todos os times e evangeliza o uso do Anypoint Exchange. A qual grupo ele provavelmente pertence?","Center for Enablement (C4E).","Exam Scenario: The organization's lead developer acts by ensuring design standards are followed by all teams and evangelizes the use of Anypoint Exchange. Which group does he likely belong to?","Center for Enablement (C4E)."
