"Termo (Front)","Definição (Back)"
"Record-Triggered Flow","Fluxo disparado automaticamente por eventos de banco de dados (criação, atualização ou exclusão)."
"Decision","Elemento de ramificação lógica que avalia condições para direcionar o fluxo (equivalente ao If/Else)."
"Assignment","Operação de atribuição usada para definir ou alterar valores de variáveis e campos."
"Loop","Estrutura de repetição usada para percorrer e processar itens de uma coleção um por um."
"Fast Field Updates","Execução 'Before-save'. Otimizada para atualizar campos no próprio registro que disparou o fluxo antes de salvar."
"Actions and Related Records","Execução 'After-save'. Usada para atualizar outros registros ou executar ações como enviar e-mails após salvar."
"Fault Path","Caminho de erro usado para capturar e tratar exceções quando um elemento de dados falha (equivalente ao Try/Catch)."
"Get Records","Elemento que recupera dados do banco de dados do Salesforce com base em filtros (equivalente ao SELECT do SQL)."
"Collection","Uma variável que armazena múltiplos registros ou valores do mesmo tipo (equivalente a uma List ou Array)."
"Screen Flow","Fluxo que interage com usuários através de telas, formulários e componentes visuais."
"Autolaunched Flow","Fluxo sem interface de usuário, executado programaticamente ou por outros processos de automação."
"Subflow","Um fluxo independente que pode ser chamado por outro fluxo, facilitando a reutilização de lógica (Componentização)."
"Resource","Contêineres de dados dentro do fluxo, como Variáveis, Fórmulas, Constantes e Modelos de Texto."
"DML Operations","Ações de manipulação de dados executadas pelo fluxo: Create, Update e Delete Records."
