"Termo (Front)","Definição (Back)"
"Composable Building Blocks","Blocos de Construção Composáveis. Ativos de TI (APIs, RPA, Fragmentos) projetados para serem reutilizados em diferentes automações."
"API Fragment","Fragmento de API. Uma peça modular de um contrato RAML/OAS (ex: um esquema JSON) que pode ser referenciada por várias APIs."
"Data Type Fragment","Fragmento de Tipo de Dado. Um bloco que define a estrutura de um objeto (ex: Account), garantindo consistência em toda a organização."
"Trait","Traço. Um fragmento reutilizável que define comportamentos comuns a vários métodos, como cabeçalhos de autenticação ou códigos de erro."
"Library","Biblioteca. Um conjunto de tipos de dados e traços relacionados que podem ser importados como uma única dependência em uma API Spec."
"Asset Versioning","Versão do Ativo. Prática de gerenciar mudanças nos blocos de construção para evitar quebra de contrato em automações que os consomem."
"Discovery","Descoberta. O processo de encontrar blocos de construção existentes no Anypoint Exchange para evitar a recriação de lógica (reuso)."
"Dependency Management","Gerenciamento de Dependências. O ato de incluir um fragmento ou biblioteca do Exchange dentro de um novo projeto de API."
"Consumption","Consumo. O ato de usar uma API Spec publicada para disparar um processo no Composer, RPA ou em outra API."
"Contract-First Design","Design Focado no Contrato. Prática de definir a interface da API (Spec) antes de escrever qualquer código de implementação."
"Standardization","Padronização. O uso de fragmentos comuns para garantir que todas as APIs da empresa falem a mesma 'língua' técnica."
"Resource Type","Tipo de Recurso. Um template reutilizável para endpoints que seguem o mesmo padrão (ex: todos os métodos 'Collection' têm GET e POST)."
