"Termo (Front)","Definição (Back)"
"Proxy Endpoint","Endpoint de Proxy. Uma camada intermediária que recebe as requisições, aplica políticas e as encaminha para a API real."
"Basic Endpoint","Endpoint Básico. Configuração onde a aplicação Mule gerencia suas próprias políticas e segurança internamente, sem um proxy separado."
"API Policy","Política de API. Regras reutilizáveis aplicadas no gateway para controlar segurança, tráfego e conformidade (ex: Rate Limiting)."
"Autodiscovery","Autodescoberta. Mecanismo que vincula uma aplicação Mule a uma instância de API no API Manager usando um ID de API."
"Rate Limiting","Limite de Taxa. Política que restringe o número de requisições que um cliente pode fazer em um determinado período de tempo."
"SLA Tier","Camada de SLA. Diferentes níveis de acesso (ex: Bronze, Gold) que definem limites de requisições por tempo para cada consumidor."
"Client ID Enforcement","Imposição de ID do Cliente. Política que exige que o consumidor envie credenciais válidas para acessar a API."
"Spike Control","Controle de Pico. Política que suaviza aumentos repentinos no tráfego, garantindo a estabilidade do backend."
"Throttling","Estrangulamento. Técnica de atrasar ou rejeitar requisições quando o limite de tráfego é excedido para evitar sobrecarga."
"Implementation URI","URI de Implementação. O endereço real (URL) onde o serviço de backend ou a aplicação Mule está rodando."
"Inbound HTTP Listener","Ouvinte HTTP de Entrada. O ponto de contato que recebe as requisições externas antes de passarem pelo gateway."
"Downstream / Upstream","Direções do tráfego. Downstream é em direção ao cliente; Upstream é em direção ao servidor de backend."
