"Termo (Front)","Definição (Back)"
"Interactive Step","Passo Interativo. Uma etapa da orquestração que pausa e aguarda uma ação humana via Screen Flow."
"Assignee","Responsável. O usuário, grupo ou fila designado para realizar a tarefa interativa."
"Queue","Fila. Um pool de usuários onde qualquer membro pode assumir e completar a tarefa atribuída."
"Public Group","Grupo Público. Uma coleção de usuários definida pelo administrador para facilitar a atribuição em massa."
"Work Guide","Guia de Trabalho. Componente do App Builder que exibe as instruções e o fluxo para o responsável pela tarefa."
"Context Record ID","ID do Registro de Contexto. O ID que vincula a tarefa ao registro principal (ex: Case ID ou Account ID)."
"User Resource","Recurso de Usuário. Uma variável dentro do orquestrador que armazena dinamicamente quem deve ser o responsável."
"Assignment Logic","Lógica de Atribuição. O conjunto de regras que determina para quem a tarefa será enviada (ex: baseada no território)."
"Task Routing","Roteamento de Tarefas. O processo de direcionar o trabalho para o recurso humano mais adequado no momento certo."
"Orchestration Work Item","Item de Trabalho da Orquestração. O registro técnico que representa a tarefa pendente para o usuário."
"Notification Email","E-mail de Notificação. Alerta automático enviado pelo orquestrador quando um novo passo interativo é atribuído."
"Escalation","Escalação. Processo (muito comum em Orchestrator) de reatribuir a tarefa se ela não for concluída em X tempo."
