Frente_PT,Verso_PT,Frente_EN,Verso_EN
"Cenário de Prova: A equipe precisa automatizar o fluxo 'Quote to Cash', onde uma Oportunidade fechada no Salesforce cria automaticamente um Pedido de Venda (Sales Order) no NetSuite, sem escrever código. Qual ferramenta usar?","MuleSoft Composer.","Exam Scenario: The team needs to automate the 'Quote to Cash' flow, where a closed Opportunity in Salesforce automatically creates a Sales Order in NetSuite, without writing code. Which tool to use?","MuleSoft Composer."
"Cenário de Prova: É necessário criar uma API de inventário 'quase em tempo real' (near real-time) para sistemas de Ponto de Venda (POS) que consuma dados pesados do SAP e do NetSuite. Qual ferramenta deve ser escolhida?","Anypoint Platform (e não o Composer, devido ao alto volume e necessidade de tempo real).","Exam Scenario: It is necessary to create a 'near real-time' inventory API for Point of Sale (POS) systems that consumes heavy data from SAP and NetSuite. Which tool should be chosen?","Anypoint Platform (not Composer, due to high volume and real-time requirement)."
"Cenário de Prova: Um fluxo do Composer recebe os textos 'true' ou 'false' de um sistema ERP como o NetSuite, mas precisa inserir esse dado em um campo do tipo Checkbox (Booleano) no Salesforce. Qual fórmula do Composer resolve isso?","A função fromStringToBoolean().","Exam Scenario: A Composer flow receives the texts 'true' or 'false' from an ERP system like NetSuite, but needs to insert this data into a Checkbox (Boolean) field in Salesforce. Which Composer formula solves this?","The fromStringToBoolean() function."
"Cenário de Prova: O campo 'Address' no Salesforce é composto por campos simples (Rua, Cidade, Estado), mas no NetSuite ele é exigido no formato de Lista (List). Como mapear esses campos corretamente no MuleSoft Composer?","Utilizando uma Expressão Personalizada (Custom Expression) dentro do próprio Composer para combinar os campos em uma lista.","Exam Scenario: The 'Address' field in Salesforce is composed of simple fields (Street, City, State), but in NetSuite it is required in a List format. How to map these fields correctly in MuleSoft Composer?","Using a Custom Expression within Composer itself to combine the fields into a list."
"Cenário de Prova: O Composer atualiza com sucesso o objeto 'Pedido' (Order) no Salesforce com dados vindos do NetSuite. Em seguida, a 'Conta' (Account) atrelada a esse pedido também precisa ser atualizada. Qual é a melhor prática?","Criar um Record-Triggered Flow no Salesforce no objeto Order para atualizar a Conta, em vez de sobrecarregar o Composer com a lógica interna do CRM.","Exam Scenario: Composer successfully updates the 'Order' object in Salesforce with data from NetSuite. Then, the 'Account' tied to this order also needs to be updated. What is the best practice?","Create a Record-Triggered Flow in Salesforce on the Order object to update the Account, instead of overloading Composer with CRM internal logic."
"Cenário de Prova: A criação de um registro no NetSuite deve atualizar um registro pai no Salesforce, e isso deve engatilhar a atualização automática de vários registros dependentes dentro do Salesforce. Quais ferramentas combinar sem envolver TI?","MuleSoft Composer (para a integração NetSuite -> Salesforce) e Salesforce Flow (para atualizar os registros dependentes internos em massa).","Exam Scenario: Creating a record in NetSuite must update a parent record in Salesforce, and this should trigger the automatic update of several dependent records within Salesforce. Which tools to combine without involving IT?","MuleSoft Composer (for the NetSuite -> Salesforce integration) and Salesforce Flow (to update dependent internal records in bulk)."
"Cenário de Prova: O Product Owner deseja que a integração que insere dados de vendas no NetSuite rode de forma automática em segundo plano (background) com agendamentos fixos. Quais opções de tempo o Scheduler do Composer oferece?","A cada 5 minutos ou a cada 30 minutos.","Exam Scenario: The Product Owner wants the integration that inserts sales data into NetSuite to run automatically in the background with fixed schedules. What timing options does the Composer Scheduler offer?","Every 5 minutes or every 30 minutes."
"Cenário de Prova: Durante a construção de um fluxo no Composer que se conecta ao NetSuite, o desenvolvedor enfrenta um erro de 'Timeout de 3 minutos' ao tentar carregar os tipos de registro (Record Types). Qual a causa técnica desse limite?","O NetSuite possui uma quantidade massiva de metadados e campos customizados, estourando o tempo limite de resolução (Metadata Resolver Timeout) do Composer.","Exam Scenario: While building a Composer flow that connects to NetSuite, the developer faces a '3-minute timeout' error when trying to load Record Types. What is the technical cause of this limit?","NetSuite has a massive amount of metadata and custom fields, exceeding the Composer's Metadata Resolver Timeout."
"Cenário de Prova: Um funcionário não-técnico precisa que o fluxo inicie no Salesforce, envie dados para um processo RPA no NetSuite e use a resposta para criar um registro final. Se o robô não tiver interrupções humanas longas, como desenhar isso?","Um único fluxo do MuleSoft Composer é acionado pelo Salesforce, chama o processo RPA e, no mesmo fluxo, captura o resultado (Data Pill) para seguir com a criação do registro.","Exam Scenario: A non-technical employee needs the flow to start in Salesforce, send data to an RPA process in NetSuite, and use the response to create a final record. If the bot has no long human interruptions, how to design this?","A single MuleSoft Composer flow is triggered by Salesforce, calls the RPA process and, in the same flow, captures the result (Data Pill) to proceed with creating the record."
"Cenário de Prova: A equipe precisa entregar integrações padronizadas entre NetSuite, Jira e Twilio, reduzindo o tempo de configuração de semanas para poucas horas. Qual recurso nativo do Composer viabiliza isso?","O uso de Templates Pré-Construídos (Pre-built Templates) disponíveis no Composer.","Exam Scenario: The team needs to deliver standardized integrations between NetSuite, Jira, and Twilio, reducing configuration time from weeks to a few hours. Which native Composer feature makes this possible?","The use of Pre-built Templates available in Composer."
