"Termo (Front)","Definição (Back)"
"RPA Manager","Plataforma central baseada na nuvem usada para gerenciar o ciclo de vida e o deploy dos robôs."
"Lifecycle Stages","Estágios do Ciclo de Vida. As fases (Design, Build, Test, Production) que um robô percorre até o deploy final."
"Test Stage","Estágio de Teste. Fase onde o robô é validado em ambiente de homologação (UAT) antes da produção."
"Production Stage","Estágio de Produção. O estado final onde o robô executa processos reais de negócio."
"Promotion","Promoção. O ato de mover um processo aprovado para o próximo estágio do ciclo de vida."
"RPA Worker / Node","Worker ou Nó. A máquina física ou virtual onde o robô é instalado e executa as tarefas."
"Run Configuration","Configuração de Execução. Definição de quais robôs rodarão em quais máquinas e em quais horários."
"Execution Plan","Plano de Execução. O agendamento (Schedule) ou gatilho que inicia a execução de um robô implantado."
"Credential Manager","Gerenciador de Credenciais. Repositório seguro no RPA Manager que armazena logins para o robô usar."
"Secure Session","Sessão Segura. Tecnologia que permite ao robô abrir uma sessão de usuário no Windows sem monitor físico."
"Publishing","Publicação. O ato de enviar o código do RPA Builder para o RPA Manager para iniciar o deploy."
"Deployment","Implantação. O processo de disponibilizar e configurar um robô para execução em um ambiente específico."
