"Termo (Front)","Definição (Back)"
"Discoverability","Descoberta. Prática de usar tags, categorias e nomes claros para facilitar que outros encontrem ativos no Exchange."
"Reusability","Reusabilidade. O princípio de projetar ativos para serem usados em múltiplos projetos, reduzindo custo e tempo de desenvolvimento."
"Semantic Versioning (SemVer)","Versioning Semântico. Sistema de numeração (ex: 1.2.3) que indica o impacto das mudanças (Quebra de contrato, Nova função ou Correção)."
"Deprecation","Depreciação. O ato de marcar um ativo como obsoleto para desencorajar seu uso em novos projetos antes de sua exclusão final."
"Asset Lifecycle","Ciclo de Vida do Ativo. Gerenciamento do estado de um item no Exchange (ex: de 'Development' para 'Stable')."
"Backward Compatibility","Compatibilidade Reversa. Garantia de que uma atualização de API não quebrará as integrações que já a utilizam."
"Rich Documentation","Documentação Rica. Uso de Markdown, diagramas e exemplos de código no portal do Exchange para que a API seja 'self-service'."
"Standardization","Padronização. Aplicação de nomes, cabeçalhos e estruturas de erro comuns em todos os ativos para garantir consistência."
"Self-service Consumption","Consumo de Autoatendimento. Capacidade de um desenvolvedor entender e testar um ativo (via Mocking) sem precisar falar com o criador."
"Feedback Loop","Ciclo de Feedback. Uso de classificações (Ratings) e comentários (Reviews) para melhorar continuamente a qualidade dos ativos."
"Template / Example","Modelo / Exemplo. Ativos publicados para servir de ponto de partida, acelerando a adoção de padrões da empresa."
"Asset Promotion","Promoção de Ativos. O processo de mover um ativo aprovado de um ambiente de teste (Sandbox) para o Exchange oficial da organização."
