"Termo (Front)","Definição (Back)"
"Anypoint Monitoring","Ferramenta de observabilidade que fornece visibilidade em tempo real sobre a performance e saúde de APIs e integrações."
"Throughput","Vazão. A taxa de mensagens ou requisições processadas por uma API em um determinado período (ex: req/sec)."
"Latency","Latência. O tempo total decorrido desde que a requisição entra no sistema até que a resposta seja enviada ao cliente."
"Built-in Dashboards","Painéis Prontos. Visualizações pré-configuradas que mostram métricas de performance sem necessidade de configuração manual."
"Custom Dashboards","Painéis Personalizados. Visualizações criadas pelo usuário para monitorar métricas específicas de negócio ou técnicas."
"Alerts","Alertas. Mecanismos que disparam notificações automáticas quando métricas atingem um limite crítico (ex: latência > 2s)."
"Log Management","Gestão de Logs. Recurso que permite pesquisar, filtrar e analisar logs agregados de várias aplicações em um só lugar."
"Titanium Subscription","Assinatura Titanium. Pacote avançado que oferece maior retenção de dados, logs e recursos de busca avançada."
"Functional Monitoring","Monitoramento Funcional. Uso de testes sintéticos que chamam a API periodicamente para validar se ela está respondendo corretamente."
"Resource Utilization","Utilização de Recursos. Monitoramento do consumo de hardware (CPU, RAM, Heap) das instâncias onde a API reside."
"Thread Dump","Descarregamento de Threads. Instantâneo do estado de todas as threads da JVM, usado para diagnosticar travamentos ou deadlocks."
"JVM Metrics","Métricas da JVM. Dados específicos sobre o comportamento da máquina virtual Java, como Garbage Collection e uso de Heap."
